"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"03/22/2021","BB-202102014","Commercial Alteration","Building",,"INDULGE GOURMET POPCORN, SUITE O (LC) (CO)","CO Issued",
"03/19/2021","BB-202101955","Commercial Alteration","Building",,"PHO CUE VIETNAMESE BBQ RESTAURANT, SUITE L (LC) (CO)","CO Issued",
"03/19/2021","BB-202101973","Commercial Alteration","Building",,"GAS EXPRESS, SUITE 470 (BLDG 400) (LC)","No CO Required",
"03/18/2021","BB-202101932","Commercial Addition","Building",,"BARTACO (LC) (CO)","Issued",
"03/17/2021","BB-202101851","Multi Family New","Building",,"WEST HOLLYWOOD TOWNHOMES (BLDG 5) aka 2081 HOLLYWOOD RD  ( LOTS 22) (LC) (CO)","CO Issued",
"03/16/2021","BB-202101827","Multi Family New","Building",,"EASTON AT BRIARCLIFF BLDG 7 LOT 54 AKA 521 WHITLOX ROAD (LC) (CO)","CO Issued",
"03/16/2021","BB-202101811","Multi Family New","Building",,"THE CASCADES - BLDG 74  AKA    840  AMBIENT WAY (UNIT 297)-  (LC) (CO)","CO Issued",
"03/12/2021","BB-202101761","Commercial Alteration","Building",,"REIT FUNDING-  SUITE 2200 (LC) (CO)","CO Issued",
"03/12/2021","BB-202101762","Multi Family Alteration","Building",,"HIDDEN VILLAGE, UNIT16 B (LC)","No CO Required",
"03/11/2021","BB-202101715","Multi Family New","Building",,"SUMMERHILL AKA   680  EXCHANGE ST  UNIT 38   (LC) (CO)","CO Issued",
"03/11/2021","BB-202101710","Commercial Alteration","Building",,"5CHURCH BUCKHEAD, SUITE 125 (LC)(CO)","CO Issued",
"03/10/2021","BB-202101679","Commercial Alteration","Building",,"CHILDREN'S PARADISE ACADEMY (LC)","Issued",
"03/10/2021","BB-202101822","Commercial Alteration","Building",,"THE WORKS, TEINT SALON, SUITE 102 (LC) (CO)","CO Issued",
"03/09/2021","BB-202101666","Multi Family Alteration","Building",,"THE GATES, UNIT 32 (LC)","No CO Required",
"03/04/2021","BB-202101575","Commercial Alteration","Building",,"FITLIFE FOODS, SUITE 218 (LC) (CO)","CO Issued",
"03/01/2021","BB-202101447","Commercial Alteration","Building",,"100 PEACHTREE (22ND FLOOR DEMO) (LC)","No CO Required",
"02/28/2021","BB-202101433","Commercial Addition","Building",,"CHAI-YO RESTAURANT, SUITE R8 (LC)","Issued",
"02/26/2021","BB-202101421","Commercial Demolition","Building",,"DEMOLITION (LC)","Issued",
"02/25/2021","BB-202101398","Commercial Alteration","Building",,"CAVA GRILL, SUITE 100 (LC) (CO)","CO Issued",
"02/25/2021","BB-202101401","Commercial New","Building",,"THE HILL SOCIAL (LC)","CO Issued",
"02/24/2021","BB-202101323","Multi Family Alteration","Building",,"ASTER BUCKHEAD APTS (PARKING GARAGE B) (LC)","Issued",
"02/23/2021","BB-202101266","Commercial Alteration","Building",,"P 115 (WHITEBOX) (LC)","Issued",
"02/23/2021","BB-202101303","Multi Family New","Building",,"THE PARK AT BROWN'S MILL; BLDG 6 UNIT 601 (LC) (CO)","CO Issued",
"02/23/2021","BB-202101263","Commercial Alteration","Building",,"HIGHLAND YOGA WESTSIDE -SUITE- 22(LC) (CC)","CO Issued",
"02/19/2021","BB-202101217","Commercial Alteration","Building",,"MIDTOWN FAMILY CHIROPRACTIC (LC) (CO)","CO Issued",
"02/18/2021","BB-202101143","Commercial Alteration","Building",,"MCDONALDS INTERIOR MODIFICATION (LC) (CC)","Issued",
"02/18/2021","BB-202101150","Multi Family New","Building",,"STONEY POINTE, LOT 17 aka  3121 MEADOWSTONE  LANE   (LC) (CO)","CO Issued",
"02/18/2021","BB-202101145","Multi Family New","Building",,"MANOR HOMES AT OXLEY BLDG 3 UNIT 48     (LC)  (CO)","CO Issued",
"02/18/2021","BB-202101135","Commercial Alteration","Building",,"CENTENNIAL TOWER (SPEC SUITE 275) (LC)","Expired",
"02/18/2021","BB-202101134","Commercial Alteration","Building",,"CENTENNIAL TOWER (SPEC SUITE 225) (LC)","Complete",
"02/16/2021","BB-202101071","Commercial Alteration","Building",,"PARKSIDE BOUNDARY BUILDING, SUITE 160 (LC)","Issued",
"02/16/2021","BB-202101068","Commercial Alteration","Building",,"PARKSIDE BOUNDARY BUILDING, SUITE 150 (LC)","Issued",
"02/16/2021","BB-202101072","Commercial Alteration","Building",,"SPEC SUITE #850 (LC)","No CO Required",
"02/16/2021","BB-202101053","Multi Family New","Building",,"FINLEY TOWNHOMES BLDG 7  AKA 1034 ROBERT SMALLS WAY  UNITS 31 (LC)  (CO)","CO Issued",
"02/15/2021","BB-202101048","Commercial Alteration","Building",,"IRIS INFRARED & INTELLIGENT SENSORS NA, SUITE 330 (LC) (CO)","CO Issued",
"02/11/2021","BB-202100992","Commercial Misc. Structural","Building",,"ASTER BUCKHEAD APTS (PARKING GARAGE A) (LC)","Issued",
"02/11/2021","BB-202100982","Commercial Alteration","Building",,"SQUEEZE ATL (LC) (CO)","CO Issued",
"02/09/2021","BB-202100894","Commercial Conversion","Building",,"ALLIANCE KITCHEN, SUITE 1 (LC) (C/O)","CO Issued",
"02/09/2021","BB-202101050","Multi Family Alteration","Building",,"CONDO REMODELING, UNIT 902 (LC)","Issued",
"02/07/2021","BB-202100847","Commercial Alteration","Building",,"VARI, SUITE 1230 (TOWER PLACE 100) (LC) (CO)","CO Issued",
"02/05/2021","BB-202100820","Commercial Alteration","Building",,"PROMINENCE, SUITE 600 (LC)","No CO Required",
"02/05/2021","BB-202100841","Commercial Alteration","Building",,"PEDEGO BELTLINE, SUITE 101 (LC) (C/O)","CO Issued",
"02/05/2021","BB-202100828","Commercial Alteration","Building",,"MORNINGSIDE VILLAGE, SUITE G (LC)","No CO Required",
"02/04/2021","BB-202100815","Commercial Alteration","Building",,"GEORGIA PSYCHIARIC","Issued",
"02/02/2021","BB-202100732","Commercial Alteration","Building",,"PATTERSON EXPANSION, SUITE 1100 (LC) (CO)","Issued",
"02/02/2021","BB-202100759","Multi Family New","Building",,"THE CASCADES aka 836 AMBIENT WAY (UNIT 306) (LC) (CO)   PRIMARY","CO Issued",
"01/28/2021","BB-202100650","Commercial Alteration","Building",,"KING OF POP, SUITE 170 (LC) (CO)","CO Issued",
"01/28/2021","BB-202100651","Multi Family New","Building",,"761 FRASER STREET TOWNHOMES (BLDG 1 UNITS 1 ) (LC) (CO)","CO Issued",
"01/27/2021","BB-202100617","Commercial New","Building",,"HIPPIN HOPS BREWERY AND OYSTER BAR SUITE 6 (LC) (CO)","CO Issued",
"01/25/2021","BB-202100705","Commercial Alteration","Building",,"CHE BUTTER JONEZ, SUITE E (LC) (CO)","CO Issued",
"01/25/2021","BB-202100636","Commercial Alteration","Building",,"SMOKE WORLD LLC, SUITE C1 (LC) (CO)","Issued",
"01/21/2021","BB-202100443","Commercial Alteration","Building",,"RSUI 19TH FLOOR (LC)","Issued",
"01/19/2021","BB-202100384","Commercial Alteration","Building",,"BAR VEGAN, SUITE N215 (LC) (CO)","CO Issued",
"01/19/2021","BB-202100370","Commercial Alteration","Building",,"CENTER PARC CREDIT UNION, SUITE 200 (LC) (CO)","CO Issued",
"01/14/2021","BB-202100849","Multi Family New","Building",,"BERNE TOWNHOMES, BUILDING 1 (UNIT 1)   (LC) (CO)","CO Issued",
"01/13/2021","BB-202100265","Commercial Alteration","Building",,"HOLIDAY BAR, SUITE P 150 (LC) (CO)","CO Issued",
"01/12/2021","BB-202100237","Commercial Conversion","Building",,"BROOKLYN TEA, SUITE 329 (LC) (CO)","CO Issued",
"01/11/2021","BB-202100212","Multi Family New","Building",,"SWIFT 2 aka  1093 CREST CIRCLE  (BLDG 22, LOT 205)  (LC) (CO)","CO Issued",
"01/08/2021","BB-202100413","Commercial Alteration","Building",,"DG DENTAL, SUITE 327 (LC) (CO)","CO Issued",
"01/06/2021","BB-202100114","Commercial Conversion","Building",,"SABBATH BREWING (LC) (CO)","CO Issued",
"01/05/2021","BB-202100070","Commercial New","Building",,"WESLEY ACADAMY MODULAR CLASSROOMS","Issued",
"01/03/2021","BB-202100009","Commercial Alteration","Building",,"EUCLID AVENUE YACHT CLUB (LC) (CO)","Issued",
"12/29/2020","BB-202007919","Commercial Alteration","Building",,"S.J.COLLINS MARKETING OFFICE, SUITE 330 (LC) (CO)","CO Issued",
"12/29/2020","BB-202007927","Commercial Alteration","Building",,"BIRKSHIRE HATHAWAY, UNIT 15 (LC) (CO)","CO Issued",
"12/29/2020","BB-202007933","Commercial Alteration","Building",,"SWEETGREEN 14 AND PEACHTREE,SUITE 140-150 d/b/a 1201 PEACHTREE STREET (LC) (CO)","CO Issued",
"12/29/2020","BB-202007934","Commercial Alteration","Building",,"7TH FLOOR COMMON AREA & RESTROOM (LC)","No CO Required",
"12/23/2020","BB-202007865","Commercial Alteration","Building",,"NEYOW'S CREOLE BISTRO, SUITE 103 (LC) (CO)","CO Issued",
"12/23/2020","BB-202007872","Commercial Alteration","Building",,"THE WORKS - THE SPUR (LC)","No CO Required",
"12/21/2020","BB-202007804","Commercial Alteration","Building",,"RSUI-19TH FLOOR DEMO (LC) (CC)","Issued",
"12/21/2020","BB-202007810","Commercial New","Building",,"ABERNATHY CONVENIENCE STORE (LC) (CO)","CO Issued",
"12/21/2020","BB-202007814","Commercial Alteration","Building",,"WILLY'S MEXICANA GRILL (LC) (C/O)","CO Issued",
"12/21/2020","BB-202007817","Commercial Alteration","Building",,"SEV LASER, SUITE 202B (LC) (CO)","CO Issued",
"12/21/2020","BB-202007819","Commercial Alteration","Building",,"SPEC SUITE (SUITE 1870) (LC)","No CO Required",
"12/21/2020","BB-202007820","Commercial Alteration","Building",,"NATIONAL WILDLIFE FOUNDATION, SUITE 1860 (LC) (CO)","CO Issued",
"12/20/2020","BB-202007775","Commercial New","Building",,"SHERWIN WILLIAMS (LC) (CO)","CO Issued",
"12/18/2020","BB-202007769","Commercial Alteration","Building",,"LENOX SQUARE SUITE 3008 B (LC)","Issued",
"12/18/2020","BB-202007765","Commercial Alteration","Building",,"KINSHIP BUTCHER & SUBDRY TENANT FIT-UP (GROCERY STORE) (LC) (CO)","CO Issued",
"12/17/2020","BB-202007742","Commercial Alteration","Building",,"LUSH NAIL BAR, SUITE 11B (LC) (C/O)","CO Issued",
"12/16/2020","BB-202007690","Multi Family New","Building",,"72 MILTON AVENUE TOWNHOMES (BUILDING 5, UNIT 501 ) (LC) (CO)","CO Issued",
"12/16/2020","BB-202007706","Commercial Alteration","Building",,"CURREY AND COMPANY SHOWROOM, SUITE 1 (LC)","Issued",
"12/15/2020","BB-202007638","Multi Family New","Building",,"MADISON YARDS, BUILDING 4, UNIT 15 (LC) (CO)","Issued",
"12/14/2020","BB-202007629","Commercial Alteration","Building",,"EMORY ATWOOD LABS, 5TH FLOOR (LC)","No CO Required",
"12/14/2020","BB-202007625","Commercial Alteration","Building",,"WHITEBOX (SUITE 11A) (LC)","Issued",
"12/10/2020","BB-202007540","Commercial Alteration","Building",,"JPPF BUCKHEAD VILLAGE L.P, SUITE G111 (LC)","No CO Required",
"12/10/2020","BB-202007526","Commercial Alteration","Building",,"1420 P Interior Reno- Suite 2nd floor (LC) (C/O)","CO Issued",
"12/09/2020","BB-202007464","Commercial Alteration","Building",,"LAND W SUPPLY REMODEL #7356 (LC) (CO)","CO Issued",
"12/09/2020","BB-202007491","Commercial Conversion","Building",,"BUFF CITY SOAPS, #108   REVISIONS TO ISSUED    (LC) (CC)","CO Issued",
"12/09/2020","BB-202007476","Commercial Conversion","Building",,"9 ROUND, SUITE L (LC) (CO)","CO Issued",
"12/08/2020","BB-202007456","Residential New","Building",,"NEW SFR  (CO)","CO Issued",
"12/07/2020","BB-202007320","Multi Family New","Building",,"FINLEY TOWNHOMES AKA 1023 ROBERT SMALLS WAY LOT 55   (LC)(CO)","CO Issued",
"12/06/2020","BB-202007473","Commercial Alteration","Building",,"FIELDPOINT PRIVATE, SUITE 3675  (LC) (CO)","Issued",
"12/04/2020","BB-202007591","Commercial Alteration","Building",,"ASSET PRESERVATION ADVISORS, SUITE 2050 (LC)","Issued",
"12/03/2020","BB-202007249","Multi Family New","Building",,"72 MILTON AVENUE, BUILDING 8, UNIT 801 (LC) (CO)","CO Issued",
"12/02/2020","BB-202007228","Commercial Alteration","Building",,"UPSTAIRS ATLANTA, BUILDING 1 (LC) (CO)","CO Issued",
"12/01/2020","BB-202007182","Commercial Demolition","Building",,"DEMOLITION (LC)","Issued",
"11/30/2020","BB-202007125","Multi Family Alteration","Building",,"THE ENCLAVE - CAMPBELLTON BLDG B: UNIT 1  (LC)","Issued",
"11/30/2020","BB-202007126","Multi Family Alteration","Building",,"THE ENCLAVE - CAMPBELLTON BLDG B: UNIT 2 (LC)","Issued",
"11/30/2020","BB-202007164","Multi Family Alteration","Building",,"THE ENCLAVE - CAMPBELLTON BLDG H: UNIT 5 (LC)","Issued",
"11/25/2020","BB-202007102","Commercial Alteration","Building",,"VOGUE NAIL LOUNGE,SUITE 120 (LC) (C/O)","CO Issued",
"11/25/2020","BB-202007105","Commercial Alteration","Building",,"EMORY UNIVERSITY - CRM OFFICE RENOVATION (LC)","Issued",
"11/25/2020","BB-202007108","Commercial Alteration","Building",,"BUILDING 3553 RENOVATIONS (LC)","Issued",
"11/23/2020","BB-202007050","Multi Family New","Building",,"WESTSIDE BEND AKA 2645 CREEKSIDE DRIVE BLDG 1 UNIT 1 (LC) (CO)","CO Issued",
"11/22/2020","BB-202007084","Commercial Alteration","Building",,"PIEDMONT ATLANTA HOSPITAL (NEUROSURGERY SUITE)  (LC) (CC)","Issued",
"11/20/2020","BB-202007011","Commercial Alteration","Building",,"MUJO SUSHI INT DEMO (LC)","Issued",
"11/20/2020","BB-202006997","Multi Family New","Building",,"THE INTERLOCK (BUILDING 4, UNIT 22) (LC)(CO)","CO Issued",
"11/19/2020","BB-202006982","Commercial Alteration","Building",,"NAILED IT NAIL SALON, SUITE H2 (LC)","CO Issued",
"11/18/2020","BB-202006954","Commercial Misc. Non-Structural","Building",,"AMERISMART DOWNSPOUT CONNECTION a.k.a. 201 SPRING ST  (LC)   (CC)","Issued",
"11/18/2020","BB-202006956","Commercial Misc. Structural","Building",,"OXLEY FRONT ENTRY- (LC) (CC)","Issued",
"11/18/2020","BB-202006945","Commercial Alteration","Building",,"AT&T MOBILITY DEALER STORE, SUITE C-1 (ALTERATIONS) (LC) (CO)","CO Issued",
"11/17/2020","BB-202006913","Commercial Alteration","Building",,"Restroom Renovation - 47th Floor (LC)","Issued",
"11/10/2020","BB-202006738","Multi Family New","Building",,"THE CASCADES AKA 824 AMBIENT WAY -BUILDING 66- LOTS 312    (LC)   (CO)","CO Issued",
"11/09/2020","BB-202006683","Multi Family New","Building",,"THE CASCADES aka 938 SOCIETY CIR SW UNIT 422 BLDG 88    (CO) (LC) PRIMARY","CO Issued",
"11/09/2020","BB-202006661","Multi Family New","Building",,"72 MILTON AVENUE TOWNHOMES (BUILDING 3, UNIT 301) (LC) (CO)","CO Issued",
"11/08/2020","BB-202006634","Commercial Alteration","Building",,"FLOOR 23 SELECTIVE DEMO, SUITE 750 (LC)","Complete",
"11/06/2020","BB-202006601","Multi Family New","Building",,"THE CASCADE aka 969 SOCIETY CIRCLE (BLDG 86, UNITS 446)    PRIMARY RECORD (LC) (CO)","CO Issued",
"11/06/2020","BB-202006610","Multi Family New","Building",,"THE INTERLOCK (BLDG 6, UNIT 36) (LC) (CO) PRIMARY","CO Issued",
"11/06/2020","BB-202006611","Multi Family New","Building",,"72 MILTON AVENUE TOWNHOMES (BUILDING 2, UNIT 201) (LC) (CO)","CO Issued",
"11/05/2020","BB-202006534","Commercial Misc. Structural","Building",,"THE SAVI PROVISIONS: GAS STATION AND CANOPY","Issued",
"11/05/2020","BB-202006505","Commercial Alteration","Building",,"CLARK ATLANTA TC RESEARCH CTR 1ST FLOOR - PHASE 1 UPGRADE (LC)","No CO Required",
"11/05/2020","BB-202006506","Commercial Alteration","Building",,"CLARK ATLANTA TC RESEARCH CTR 2ND FLOOR - PHASE 1 UPGRADE (LC)","No CO Required",
"11/05/2020","BB-202006509","Commercial Addition","Building",,"DAS BBQ  #2  (LC) (CO)","CO Issued",
"11/05/2020","BB-202006518","Commercial Alteration","Building",,"NIKE LIVE TENANT FIT OUT (LC) (C/O)","CO Issued",
"11/05/2020","BB-202006519","Commercial Alteration","Building",,"BUCKHEAD COALITION,SUITE 1640 (LC)","Complete",
"11/04/2020","BB-202006493","Commercial Alteration","Building",,"LINDBERG MENSWEAR ,SUITE 100 (LC) (CO)","CO Issued",
"11/04/2020","BB-202006941","Commercial Alteration","Building",,"SPEC SUITE 1230 (LC) (CC)","Issued",
"11/03/2020","BB-202006429","Multi Family New","Building",,"CROSBY TOWNHOMES aka 917 BREES CT BLDG 9 LOT 57  PRIMARY RECORD  (LC) (CO)","CO Issued",
"11/02/2020","BB-202006405","Commercial Alteration","Building",,"HIPPON HOPS BREWERY & OYSTER BAR (LC) (CO)","CO Issued",
"10/27/2020","BB-202006228","Multi Family Alteration","Building",,"INMAN LOFT, SUITE D (LC)","Issued",
"10/22/2020","BB-202006161","Multi Family New","Building",,"CASTLEBERRY STATION BLDG 2 LOT 6 aka  312 FAIR ST   (LC) (CO)  PRIMARY","CO Issued",
"10/22/2020","BB-202006151","Commercial Alteration","Building",,"Holland & Knight, Suite 1700 (LC) (C/O)","CO Issued",
"10/22/2020","BB-202006164","Multi Family Demolition","Building",,"IN REM DEMOLITION OF (4) APARTMENT BUILDINGS","Issued",
"10/21/2020","BB-202006099","Multi Family New","Building",,"THE CASCADES-aka  873 SOCIETY CIRCLE LOTS 373  (LC)  (CO)","CO Issued",
"10/21/2020","BB-202006101","Multi Family New","Building",,"THE CASCADES-aka  869 SOCIETY CIRCLE LOTS 375  (LC)  (CO)","CO Issued",
"10/21/2020","BB-202006102","Multi Family New","Building",,"THE CASCADES-aka  867 SOCIETY CIRCLE LOTS 376   (LC)  (CO)","CO Issued",
"10/20/2020","BB-202006062","Multi Family New","Building",,"WEST HIGHLANDS,@ PERRY BLVD-BLDG  4, LOT 674  aka  1955 DREW DRIVE - PRIMARY   (LC) (CO)","CO Issued",
"10/20/2020","BB-202006060","Commercial Alteration","Building",,"3201 ATLANTA INDUSTRIAL PKWY, SUITE 208 (LC)","Issued",
"10/18/2020","BB-202006022","Commercial Demolition","Building",,"KINDBODY DEMOLITION (LC)","Issued",
"10/15/2020","BB-202005988","Commercial Conversion","Building",,"THE BANK , SUITE 190 (LC) (C/O)","Issued",
"10/15/2020","BB-202005968","Commercial Alteration","Building",,"POMOPORO BELLA (VENDOR 101) (LC) (C/O)","Expired",
"10/13/2020","BB-202005889","Commercial Alteration","Building",,"INTERVENTIONAL RADIOLOGY SUITE  RENO - PHASE 2  (LC) (CO)","CO Issued",
"10/12/2020","BB-202005874","Commercial Alteration","Building",,"WINGSTOP, SPACE B-204 (LC) (CO)","CO Issued",
"10/12/2020","BB-202005884","Commercial Alteration","Building",,"PRO RADIOLOGY, MRI- ROOM 113  (LC) (CO)","Issued",
"10/09/2020","BB-202005839","Commercial Alteration","Building",,"DOMINOS, STORE 5757 (LC) (CO)","CO Issued",
"10/08/2020","BB-202005807","Commercial Addition","Building",,"HATTIE WATKINS NEW MUTIPURPOSE ROOM ADDITION  (LC) (CC)","CO Issued",
"10/07/2020","BB-202005801","Commercial Alteration","Building",,"HARLAND CLARKE - GEORGIA PACIFIC CENTER, SUITE 2600 (LC) (CC)","Complete",
"10/04/2020","BB-202005710","Commercial Alteration","Building",,"WGCL 2020 OFFICE RENOVATION 1ST FLOOR MASTER CONTROL ROOM (LC)","Issued",
"10/01/2020","BB-202005667","Commercial Alteration","Building",,"MEDICAL OFFICE (BLDG  LEVEL 5) COORIDOR (LC)","Issued",
"09/30/2020","BB-202005645","Commercial Alteration","Building",,"EMPIRE CENTRALIZED SALES CENTER, SUITE 108 & 110 (LC) (CO)","CO Issued",
"09/28/2020","BB-202005598","Commercial Alteration","Building",,"SPEC STE 180 N (LC)","No CO Required",
"09/25/2020","BB-202005493","Commercial Pool","Building",,"WEST HIGHLANDS LEISURE POOL (LC) (CC)","No CO Required",
"09/24/2020","BB-202005490","Commercial Alteration","Building",,"NEW LEAF ART COLLECTIVE, SUITE 101 (LC) (CO)","CO Issued",
"09/23/2020","BB-202005447","Commercial Alteration","Building",,"IRIS ATLANTA, SUITE 26 (LC)  (CO)","CO Issued",
"09/23/2020","BB-202005427","Commercial New","Building",,"MUKJA FRIED CHICKEN (LC) (CO)","CO Issued",
"09/22/2020","BB-202005382","Commercial Alteration","Building",,"SUZUKI SCHOOL CLASSROOM, SUITE S-206 (LC)","Issued",
"09/22/2020","BB-202005385","Multi Family New","Building",,"THE CASCADES aka 875 SOCIETY CIRCLE-LOT 372   (LC)  (CO)  (PRIMARY RECORD)","CO Issued",
"09/17/2020","BB-202005223","Commercial New","Building",,"MOORES MILL STATION CONVENIENCE STORE (LC) (CC)","Complete",
"09/16/2020","BB-202005200","Commercial Misc. Non-Structural","Building",,"ONE GEORGIA CENTER (LC) (CC)","Issued",
"09/16/2020","BB-202005196","Commercial Addition","Building",,"ROSEWOOD STEAK HOUSE (LC) (CO)","Issued",
"09/16/2020","BB-202005185","Commercial Alteration","Building",,"RICKETTE'S WORLD FAMOUS CHICKEN & BBQ (TAKE OUT ONLY) (LC) (CO)","CO Issued",
"09/11/2020","BB-202005118","Commercial Alteration","Building",,"MONACO LOUNGE (LC) (CC)","Issued",
"09/10/2020","BB-202005063","Commercial Alteration","Building",,"GRADY PONCE DE LEON - PHASE 3","Issued",
"09/10/2020","BB-202005074","Multi Family Alteration","Building",,"MUSES LOFTS #217 (LC) (CC)","Issued",
"09/09/2020","BB-202005055","Commercial Alteration","Building",,"GRADY PONCE DE LEON- PHASE 2 RENOVATION","No CO Required",
"09/08/2020","BB-202005748","Commercial Alteration","Building",,"SPEC SUITE 375N (LC) (CC)","No CO Required",
"09/02/2020","BB-202004907","Commercial New","Building",,"KING OF POP, SUITE N142 (LC) (C/O)","CO Issued",
"09/01/2020","BB-202004856","Multi Family Alteration","Building",,"SUN SHADES PANELS   (LC) (CC)","Issued",
"09/01/2020","BB-202004883","Commercial Conversion","Building",,"SOUTHERN QUEENZ (LC) (CO)","CO Issued",
"09/01/2020","BB-202004881","Commercial Misc. Non-Structural","Building",,"ELLINGTON @ 401 17th (LC) (CC)","Issued",
"08/31/2020","BB-202004835","Commercial Alteration","Building",,"HATTIE B'S HOT CHICKEN RENOVATION (LC) (C/O)","CO Issued",
"08/31/2020","BB-202004811","Commercial Misc. Structural","Building",,"ENGLEWOOD TRAILER  1 (LC) (CO)","Complete",
"08/31/2020","BB-202004813","Commercial Misc. Structural","Building",,"Englewood Trailer 2 (LC) (CO)","Complete",
"08/31/2020","BB-202004841","Commercial Alteration","Building",,"ESCO SEAFOOD AND BAR (LC) (CO)","CO Issued",
"08/27/2020","BB-202004730","Residential New","Building",,"536 LANGHORN - NSF","CO Issued",
"08/27/2020","BB-202004727","Multi Family Alteration","Building",,"MUSES LOFTS #403 (LC) (CC)","Issued",
"08/24/2020","BB-202004651","Commercial Alteration","Building",,"ATLANTA COSMETIC UROLOGY, SUITE 550 (LC) (CO)","Issued",
"08/24/2020","BB-202004638","Commercial Alteration","Building",,"BUCKHEAD RHEUMATOLOGY, SUITE 525  (LC) (CO)","CO Issued",
"08/24/2020","BB-202004647","Commercial Alteration","Building",,"FAMILY DOLLAR STORE #2349 (LC) (CC)","Issued",
"08/24/2020","BB-202004634","Commercial Alteration","Building",,"ATLANTA PREMIER OBGYN,  SUITE 101-102 (LC) (CO)","CO Issued",
"08/20/2020","BB-202004576","Commercial Alteration","Building",,"BAUERFEIND USA, SUITE 2350 (LC) (CO)","CO Issued",
"08/18/2020","BB-202004514","Commercial Addition","Building",,"ONE AMERIS CENTER PEDESTRIAN BRIDGE & RENO (LC) (CC)","No CO Required",
"08/18/2020","BB-202004528","Commercial Alteration","Building",,"BOBO INTRIGUING OBJECTS, LLC (SUITES 152-156)  (LC) (C/O)","CO Issued",
"08/18/2020","BB-202004516","Commercial Addition","Building",,"TWO AMERIS CENTER (LC)","No CO Required",
"08/17/2020","BB-202004505","Commercial Misc. Non-Structural","Building",,"SITE IMPROVEMENTS                 (LC)  (CC)","No CO Required",
"08/14/2020","BB-202004479","Multi Family New","Building",,"FINLEY TOWNHOME aka 720 KATHERINE JOHNSON LANE (BLDG 9 UNIT 43) (LC) (CO)","CO Issued",
"08/14/2020","BB-202004483","Multi Family New","Building",,"FINLEY TOWNHOME  aka  718 KATHERINE JOHNSON LANE-BLDG 9 LOT/ UNIT 44 (BL-18-007)  (LC)   (CO)","CO Issued",
"08/14/2020","BB-202004458","Multi Family New","Building",,"1450 MEMORIAL TOWNHOME (BUILDING 4, UNIT 13) (LC) (CO)","CO Issued",
"08/12/2020","BB-202004433","Commercial Alteration","Building",,"SHEPHERD CENTER - ADL LAB (4TH FLOOR) (LC)","No CO Required",
"08/12/2020","BLD-ONLINE-20-001823","Online Application","Building",,"536 LANGHORN - NSF","Closed",
"08/11/2020","BB-202004414","Commercial New","Building",,"100 PERCENT CHIROPRACTIC, SUITE 303 (LC) (C/O)","CO Issued",
"08/11/2020","BB-202004404","Commercial Alteration","Building",,"Grady Health System Edward C Loughlin Radiation Oncology Center Linear Accelerator  (LC)","Issued",
"08/10/2020","BB-202004379","Multi Family New","Building",,"1450 MEMORIAL DRIVE, BLDG 1 UNIT 1 PRIMARY RECORD (LC) (CO)","CO Issued",
"08/10/2020","BB-202004377","Multi Family New","Building",,"1450 MEMORIAL DRIVE, BLDG 4 UNIT 12  PRIMARY RECORD  (LC) (CO)","CO Issued",
"08/07/2020","BB-202004344","Multi Family Addition","Building",,"763 JUNIPER STREET: FENCE & GATE INSTALLATION","Issued",
"08/07/2020","BB-202004336","Commercial Alteration","Building",,"AXIS COMMUNICATIONS, SUITE 100 (LC) (CO)","CO Issued",
"08/06/2020","BB-202004301","Commercial Alteration","Building",,"Southern Feed Store (LC) (C/O)","CO Issued",
"08/03/2020","BB-202004202","Commercial Alteration","Building",,"EQ Athletics | Crossfit 20-817","CO Issued",
"07/31/2020","BB-202004174","Multi Family Alteration","Building",,"3005 PEACHTREE RD SUITE 250","Issued",
"07/30/2020","BB-202004159","Commercial Demolition","Building",,"CHICK FIL A STORE # 0458 (LC) DEMO","Issued",
"07/28/2020","BB-202004103","Commercial Misc. Structural","Building",,"PRYOR STREET RENOVATIONS (LC)","Issued",
"07/28/2020","BB-202004112","Commercial Alteration","Building",,"HYPER WELLNESS & CRYOTHERAPY, SUITE 208 (LC) (CO)","CO Issued",
"07/28/2020","BB-202004295","Commercial Alteration","Building",,"DEKALASH SALON, SUITE 212 (LC) (CO)","CO Issued",
"07/21/2020","BB-202003939","Commercial Addition","Building",,"TWO BUCKHEAD PLAZA - DECK B (LC) (CC)","Issued",
"07/17/2020","BB-202003872","Commercial Alteration","Building",,"LOCAL UNION 72  (1ST FLOOR COMMON AREA RENOVATION) (LC)","Complete",
"07/16/2020","BB-202003842","Commercial Alteration","Building",,"JU - C BAR                                              (LC) (CO)","CO Issued",
"07/15/2020","BB-202003804","Commercial Alteration","Building",,"HARPER ARCHER OUT-TEACH (LC) (CO)","CO Issued",
"07/15/2020","BB-202003807","Multi Family Alteration","Building",,"YAVARI CONDO (LC)","Issued",
"07/09/2020","BB-202003771","Commercial Misc. Non-Structural","Building",,"ELLINGTON @ 391 17th (LC) (CC)","Issued",
"07/06/2020","BB-202003566","Commercial Alteration","Building",,"CARPORT ENCLOSURE, SUITE A  (LC) (CC)","No CO Required",
"07/06/2020","BB-202003584","Multi Family New","Building",,"MILTON TOWNHOMES (BUILDING 1, UNIT 1) (LC) (CO)","CO Issued",
